Conference,Start Date,End Date,City,State,Region,Venue,Focus (keywords),East Coast?,Relevance to agentic Java migration,Official URL
Great Lakes Software Symposium (NFJS Tour),2025-08-01,2025-08-02,Chicago,IL,Midwest,,"Java, JVM, architecture, microservices, DevOps",No,Talks on modern Java/JVM and refactoring patterns; networking with Java practitioners,https://nofluffjuststuff.com/
Big Sky Dev Con,2025-08-02,2025-08-02,Bozeman,MT,West,The Commons (per event site),"Polyglot, LLMs on-device, web, Rust, htmx",No,Fresh ideas/tools; cross-language perspectives that can inform migration approaches,https://bigskydevcon.com/
Black Hat USA,2025-08-02,2025-08-07,Las Vegas,NV,West,Mandalay Bay Convention Center,"Security research, exploit dev, appsec",No,Security patterns and threat models for modernized Java stacks,https://www.blackhat.com/us-25/
FOSSY (Free and Open Source Software Yearly),2025-07-31,2025-08-03,Portland,OR,West,Portland State University (Smith Memorial Student Union),"Open source communities, governance, tooling",No,Best practices for OSS Java projects and migration governance,https://2025.fossy.us/
Beer City Code,2025-08-08,2025-08-09,Grand Rapids,MI,Midwest,Calvin University (per event site),"Software development, workshops",No,General engineering practices; share migration lessons learned,https://www.beercitycode.com/
DEF CON 33,2025-08-07,2025-08-10,Las Vegas,NV,West,Las Vegas Convention Center,"Hackers, security, tooling",No,Security testing and automation ideas to harden migrations,https://defcon.org/
Carolina Code Conference,2025-08-15,2025-08-16,Greenville,SC,East,Flywheel Greenville,"Polyglot programming, DevSecOps, cybersecurity",Yes,Good venue for a practitioner talk on agentic Java migrations,https://www.carolina.codes/
DevOpsDays Kansas City,2025-08-13,2025-08-13,Kansas City,MO,Midwest,Kansas City Convention Center,"DevOps, CI/CD, SRE",No,Pipelines and automation patterns for incremental migrations,https://devopsdays.org/events/2025-kansas-city/
KCDC (Kansas City Developer Conference),2025-08-14,2025-08-15,Kansas City,MO,Midwest,Kansas City Convention Center,"Software design, Java, architecture, AI, DevOps",No,Large dev audience; good for sharing migration playbooks,https://www.kcdc.info/
JVM Language Summit (JVMLS),2025-08-04,2025-08-06,Santa Clara,CA,West,Oracle Auditorium,"JVM internals, compilers, language design",No,Deep JVM insights; inform transformation tooling and semantics,https://openjdk.org/projects/mlvm/jvmlangsummit/
GopherCon,2025-08-26,2025-08-28,New York City,NY,East,North Javits Center,"Go language, tooling, performance",Yes,Cross-language migration ideas; tooling patterns from Go ecosystem,https://www.gophercon.com/
Secure Software by Design (SEI),2025-08-19,2025-08-20,Arlington,VA,East,Cooperative Plaza Conference Center,"Secure SDLC, DevSecOps, testing, threat modeling",Yes,Security updates and governance for modernized Java systems,https://resources.sei.cmu.edu/news-events/events/secure-software-by-design/
USENIX Security Symposium,2025-08-13,2025-08-15,Seattle,WA,West,,"Program analysis, automated security analysis, privacy",No,Latest research on program analysis & security relevant to refactoring,https://www.usenix.org/conference/usenixsecurity25
TechMentor @ Microsoft HQ,2025-08-11,2025-08-15,Redmond,WA,West,Microsoft Conference Center,"IT pro, automation, PowerShell, Microsoft 365, AI",No,Automation patterns; AI sessions applicable to agent workflows,https://techmentorevents.com/events/redmond-2025/home.aspx
