repo,base_commit,num_java_files,num_loc,num_pom_xml,num_src_test_java_files,num_test_cases,license
15093015999/EJServer,7e51c59e090484ae4573290099b6936855554064,68,10089,1,1,1,MIT
284885166/spring-boot-hashids,4973285e49b48be7b10818fae530159c55af267a,11,614,3,0,1,Apache-2.0
adlered/Picuang,8c361437de5fe56f45ff6cf6785a033a8e267d2a,25,1500,1,1,1,Apache-2.0
adlered/Voter,27ef5e2a0058122e7a08c78fffe3b63c7084b8ae,17,727,1,1,1,MIT
aehrc/snorocket,5a010d8f375b59944ebc32325affb7bd1c07fc98,96,17769,5,0,2,Apache-2.0
agentsoz/jill,9b8f1e7a28d511adfa9bc5dbff4bcb4c524370f8,168,528945,4,0,14450,MIT
ahenson/flatworm,2ea954be7584199bcc33bfdaa2664e2379316408,136,12619,4,0,41,Apache-2.0
AingeZzz/easy-crypto,59d5bdee4837ae83645b3e71d91dffa65ef65e1f,63,6367,1,16,2,Apache-2.0
ainilili/ratel,135c2e3cd761b73f786607eee9c2ff7185ca92ce,112,8348,4,0,13,Apache-2.0
airlift/airline,1f640f879e08796bfa71de68cc46e9e02be6c139,80,7645,1,38,162,Apache-2.0
alanhay/html-exporter,1f062fd5c0de0edc78d88d6b6d35a7b6cb2592a6,64,4721,1,13,43,Apache-2.0
alexa/alexa-skills-kit-sdk-for-java,95acad23fa38c551d3f43eeffe64bb23ac08499d,278,26183,14,0,8,Apache-2.0
alfasoftware/soapstone,480e00c3384796efb1b2e69ba611d0234f6af333,38,7342,1,21,89,Apache-2.0
alibaba/bytekit,492858605c4cb0495802a86db8157137acb083b7,171,17905,3,0,62,Apache-2.0
alt236/jacocoxmlparser,627bba5a0150fd7fdb8b58db6d9cc16085fd6526,32,1281,1,7,9,Apache-2.0
AmadeusITGroup/HttpSessionReplacer,16e9d930f4743ea27d83322f0a9dfb6e0eb41b2a,186,27837,6,0,349,MIT
anand1st/sshd-shell-spring-boot,524902f4274549acb58a44ca37c64d22a8ce4603,73,5188,3,0,82,Apache-2.0
anba/es6draft,5487e074da2f9489fa2d8c653f037c0969bb2a68,751,205231,1,88,1269,MIT
antkorwin/xsync,6e46fbfd1fa0bf36ffd214f51057009f1051476a,11,3319,1,5,35,Apache-2.0
apache/commons-jelly,fac833cef1a4175b4551f5fedb4067baae0addf1,595,64806,39,0,11,Apache-2.0
apache/incubator-retired-tamaya,fae0bf37f74825eebb01327bc9846790e878fa19,219,28290,10,0,284,Apache-2.0
apache/karaf-winegrower,310bf020db93e4895fc4ebf5bf2be2acf973aee9,100,11010,27,0,1,Apache-2.0
apache/maven-enforcer,80ee78e5f7473dafc8ca8e68d8f2af7895290303,117,16222,192,0,24,Apache-2.0
apache/shardingsphere-elasticjob,d94ce276d9763509cf86246f809d2e714e8500a5,535,37927,39,0,12,Apache-2.0
apache/sling-org-apache-sling-resourceresolver,166800f90a67597fd7e2cb66ce2812bfc6da4059,103,29228,1,42,380,Apache-2.0
arquillian/arquillian-core,2bc6e1c3af13a210c01a9e7ea5bbd159c5b58d1c,610,56258,41,0,41,Apache-2.0
arteam/simple-json-rpc,e0a52286430cc0482894833d97bc08ce29ded0b3,80,6104,4,0,68,MIT
artipie/npm-proxy-adapter,f586fe744f6f010be4e5c9311577491093e32485,34,3433,1,12,32,MIT
Artur-/a-vaadin-helper,84c6e9d4d040fc04d042b7d92414844825553976,8,347,1,2,3,Apache-2.0
atomix/catalyst,140e762cb975cd8ee1fd85119043c5b8bf917c5c,194,22872,10,0,1,Apache-2.0
atomix/copycat,c90b88ccd5c63d6ea0b49fb77c25e2f3272a7b10,229,40282,8,0,72,Apache-2.0
augustt198/lumen,69ba5288a6af11a1d1e66dfcba30331c1eaee357,163,10088,1,16,38,MIT
aws-cloudformation/cloudformation-cli-java-plugin,5b354cfd4827628557b99d884d54c639c07330d1,237,23655,2,80,390,Apache-2.0
aws-samples/aws-athena-hive-metastore,adc03bbdbc5c6b3c371d0edd72028d385c3d9080,132,9046,6,0,12,Apache-2.0
awslabs/aws-device-farm-jenkins-plugin,5c15e82917704b2995f98a76cf4ae26502062b1a,30,6061,1,2,23,Apache-2.0
